country,type,date,demand
AT,power,2019-11-02,67000600.00000001
AT,power,2019-11-03,57340000.0
AT,power,2019-11-04,99119400.0
AT,power,2019-11-05,95658600.0
AT,power,2019-11-06,98893800.0
AT,power,2019-11-07,101570600.0
AT,power,2019-11-08,104607400.0
AT,power,2019-11-09,67816400.0
AT,power,2019-11-10,65157000.0
AT,power,2019-11-11,77093000.0
AT,power,2019-11-12,86589600.0
AT,power,2019-11-13,117174600.0
AT,power,2019-11-14,119608600.0
AT,power,2019-11-15,88518000.0
AT,power,2019-11-16,65408800.0
AT,power,2019-11-17,59023200.00000001
AT,power,2019-11-18,91968000.0
AT,power,2019-11-19,107288200.0
AT,power,2019-11-20,109284600.0
AT,power,2019-11-21,108373400.0
AT,power,2019-11-22,82299200.0
AT,power,2019-11-23,55360400.0
AT,power,2019-11-24,58409600.0
AT,power,2019-11-25,99791200.0
AT,power,2019-11-26,102440800.0
AT,power,2019-11-27,64561800.0
AT,power,2019-11-28,56454000.0
AT,power,2019-11-29,78675200.0
AT,power,2019-11-30,84242400.0
AT,power,2019-12-01,88165000.0
AT,power,2019-12-02,90918200.0
AT,power,2019-12-03,120969400.0
AT,power,2019-12-04,117219800.0
AT,power,2019-12-05,109486200.0
AT,power,2019-12-06,104859800.0
AT,power,2019-12-07,73011600.0
AT,power,2019-12-08,61360400.0
AT,power,2019-12-09,109590600.0
AT,power,2019-12-10,90264400.0
AT,power,2019-12-11,93683800.0
AT,power,2019-12-12,101911400.0
AT,power,2019-12-13,98590200.0
AT,power,2019-12-14,78831000.0
AT,power,2019-12-15,63759000.0
AT,power,2019-12-16,94816000.0
AT,power,2019-12-17,80385400.0
AT,power,2019-12-18,82287400.0
AT,power,2019-12-19,71848000.0
AT,power,2019-12-20,59291800.0
AT,power,2019-12-21,59398400.0
AT,power,2019-12-22,55642600.0
AT,power,2019-12-23,55708200.0
AT,power,2019-12-24,55283400.0
AT,power,2019-12-25,37357600.0
AT,power,2019-12-26,69489800.0
AT,power,2019-12-27,86357400.0
AT,power,2019-12-28,83946400.0
AT,power,2019-12-29,74907800.0
AT,power,2019-12-30,86280800.0
AT,power,2019-12-31,80663600.0
AT,power,2020-01-01,79713000.0
AT,power,2020-01-02,90458800.0
AT,power,2020-01-03,113695400.0
AT,power,2020-01-04,71557400.0
AT,power,2020-01-05,88429600.0
AT,power,2020-01-06,126868400.0
AT,power,2020-01-07,124388200.0
AT,power,2020-01-08,108354600.0
AT,power,2020-01-09,140061800.0
AT,power,2020-01-10,129956800.0
AT,power,2020-01-11,91852200.0
AT,power,2020-01-12,102398800.0
AT,power,2020-01-13,125292400.0
AT,power,2020-01-14,124796000.0
AT,power,2020-01-15,130948200.0
AT,power,2020-01-16,148016000.0
AT,power,2020-01-17,123589600.0
AT,power,2020-01-18,112189200.0
AT,power,2020-01-19,95656800.0
AT,power,2020-01-20,121156400.0
AT,power,2020-01-21,135574600.0
AT,power,2020-01-22,122457200.0
AT,power,2020-01-23,124325800.0
AT,power,2020-01-24,117730600.0
AT,power,2020-01-25,101562000.0
AT,power,2020-01-26,122781800.0
AT,power,2020-01-27,143567200.0
