country,date,demand,type,source
AT,2019-09-01,199116502.743,total,aggm
AT,2019-09-02,175382523.877,total,aggm
AT,2019-09-03,214612718.092,total,aggm
AT,2019-09-04,216162113.529,total,aggm
AT,2019-09-05,201208017.63000003,total,aggm
AT,2019-09-06,210198232.04,total,aggm
AT,2019-09-07,177343363.03100002,total,aggm
AT,2019-09-08,212675520.456,total,aggm
AT,2019-09-09,223732972.081,total,aggm
AT,2019-09-10,202769436.903,total,aggm
AT,2019-09-11,203439451.495,total,aggm
AT,2019-09-12,210724782.084,total,aggm
AT,2019-09-13,173817261.08600003,total,aggm
AT,2019-09-14,161263768.645,total,aggm
AT,2019-09-15,210856832.917,total,aggm
AT,2019-09-16,224782696.29799998,total,aggm
AT,2019-09-17,214030349.717,total,aggm
AT,2019-09-18,258588048.706,total,aggm
AT,2019-09-19,275000688.987,total,aggm
AT,2019-09-20,226632112.32999998,total,aggm
AT,2019-09-21,179080327.483,total,aggm
AT,2019-09-22,255383917.63099998,total,aggm
AT,2019-09-23,268128910.48999998,total,aggm
AT,2019-09-24,257690697.30200002,total,aggm
AT,2019-09-25,243703405.47300002,total,aggm
AT,2019-09-26,216321647.43499997,total,aggm
AT,2019-09-27,186217482.54500002,total,aggm
AT,2019-09-28,188113615.001,total,aggm
AT,2019-09-29,211509375.244,total,aggm
AT,2019-09-30,219586692.707,total,aggm
AT,2019-10-01,250462062.871,total,aggm
AT,2019-10-02,265234327.087,total,aggm
AT,2019-10-03,266468900.03200004,total,aggm
AT,2019-10-04,224906794.059,total,aggm
AT,2019-10-05,219943908.894,total,aggm
AT,2019-10-06,284411053.39599997,total,aggm
AT,2019-10-07,272715507.608,total,aggm
AT,2019-10-08,288886541.901,total,aggm
AT,2019-10-09,267789288.523,total,aggm
AT,2019-10-10,237403862.235,total,aggm
AT,2019-10-11,225651942.804,total,aggm
AT,2019-10-12,221349496.24,total,aggm
AT,2019-10-13,265320427.06699997,total,aggm
AT,2019-10-14,270727996.161,total,aggm
AT,2019-10-15,285787520.93799996,total,aggm
AT,2019-10-16,285262973.565,total,aggm
AT,2019-10-17,294195176.841,total,aggm
AT,2019-10-18,247281637.13500002,total,aggm
AT,2019-10-19,240962451.662,total,aggm
AT,2019-10-20,275736616.678,total,aggm
AT,2019-10-21,283775951.52599996,total,aggm
AT,2019-10-22,274690556.39,total,aggm
AT,2019-10-23,269251679.814,total,aggm
AT,2019-10-24,282212414.624,total,aggm
AT,2019-10-25,225415505.33999997,total,aggm
AT,2019-10-26,245721802.39,total,aggm
AT,2019-10-27,292819816.644,total,aggm
AT,2019-10-28,335803599.69200003,total,aggm
AT,2019-10-29,349979502.65099996,total,aggm
AT,2019-10-30,360170268.82,total,aggm
AT,2019-10-31,294342116.409,total,aggm
AT,2019-11-01,272596130.669,total,aggm
AT,2019-11-02,240875023.425,total,aggm
AT,2019-11-03,302851467.667,total,aggm
AT,2019-11-04,317742452.767,total,aggm
AT,2019-11-05,331918079.72999996,total,aggm
AT,2019-11-06,332574342.72800004,total,aggm
AT,2019-11-07,336085553.907,total,aggm
AT,2019-11-08,285827627.089,total,aggm
AT,2019-11-09,302716719.169,total,aggm
AT,2019-11-10,358591284.813,total,aggm
AT,2019-11-11,365351409.587,total,aggm
AT,2019-11-12,411274124.978,total,aggm
AT,2019-11-13,408484889.187,total,aggm
