Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
06/12/2023 00:00:00,06/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2448112900,11/12/2023 16:01:00,A
06/12/2023 00:00:00,06/12/2023,"NTS Energy Offtaken, Powerstations Total",869394041,11/12/2023 13:01:01,A
05/12/2023 00:00:00,05/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",80312699,07/12/2023 14:01:01,A
05/12/2023 00:00:00,05/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2233182649,06/12/2023 16:01:00,A
05/12/2023 00:00:00,05/12/2023,"NTS Energy Offtaken, Powerstations Total",923692388,06/12/2023 13:01:00,A
04/12/2023 00:00:00,04/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",60148538,05/12/2023 16:01:00,A
04/12/2023 00:00:00,04/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2257105552,09/12/2023 14:01:00,A
04/12/2023 00:00:00,04/12/2023,"NTS Energy Offtaken, Powerstations Total",661933233,06/12/2023 13:01:00,A
03/12/2023 00:00:00,03/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",65884532,04/12/2023 16:01:01,A
03/12/2023 00:00:00,03/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2334520625,06/12/2023 16:01:00,A
03/12/2023 00:00:00,03/12/2023,"NTS Energy Offtaken, Powerstations Total",627234272,05/12/2023 12:01:00,A
02/12/2023 00:00:00,02/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",78496281,05/12/2023 12:01:00,A
02/12/2023 00:00:00,02/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2677495894,06/12/2023 16:01:00,A
02/12/2023 00:00:00,02/12/2023,"NTS Energy Offtaken, Powerstations Total",875455323,06/12/2023 12:01:00,A
01/12/2023 00:00:00,01/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",84752132,04/12/2023 16:01:01,A
01/12/2023 00:00:00,01/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",2716163712,06/12/2023 16:01:00,A
01/12/2023 00:00:00,01/12/2023,"NTS Energy Offtaken, Powerstations Total",1072134365,04/12/2023 16:01:01,A
30/11/2023 00:00:00,30/11/2023,"NTS Energy Offtaken, Industrial Offtake Total",81547720,01/12/2023 14:01:01,A
30/11/2023 00:00:00,30/11/2023,"NTS Energy Offtaken, LDZ Offtake Total",2626203340,05/12/2023 16:01:00,A
30/11/2023 00:00:00,30/11/2023,"NTS Energy Offtaken, Powerstations Total",1072630701,04/12/2023 10:01:01,A
29/11/2023 00:00:00,29/11/2023,"NTS Energy Offtaken, Industrial Offtake Total",75945332,30/11/2023 14:01:01,A
29/11/2023 00:00:00,29/11/2023,"NTS Energy Offtaken, LDZ Offtake Total",2395678118,04/12/2023 14:01:00,A
29/11/2023 00:00:00,29/11/2023,"NTS Energy Offtaken, Powerstations Total",966194683,01/12/2023 14:01:01,A
28/11/2023 00:00:00,28/11/2023,"NTS Energy Offtaken, Industrial Offtake Total",69478643,29/11/2023 12:01:00,L
28/11/2023 00:00:00,28/11/2023,"NTS Energy Offtaken, LDZ Offtake Total",2135905169,01/12/2023 16:01:01,A
28/11/2023 00:00:00,28/11/2023,"NTS Energy Offtaken, Powerstations Total",767902941,03/12/2023 12:01:01,A
27/11/2023 00:00:00,27/11/2023,"NTS Energy Offtaken, Industrial Offtake Total",58230128,28/11/2023 14:01:00,A
27/11/2023 00:00:00,27/11/2023,"NTS Energy Offtaken, LDZ Offtake Total",2000946478,01/12/2023 16:01:01,A
27/11/2023 00:00:00,27/11/2023,"NTS Energy Offtaken, Powerstations Total",641189491,01/12/2023 14:01:01,A
26/11/2023 00:00:00,26/11/2023,"NTS Energy Offtaken, Industrial Offtake Total",68027974,28/11/2023 12:01:01,A
26/11/2023 00:00:00,26/11/2023,"NTS Energy Offtaken, LDZ Offtake Total",2080090447,29/11/2023 12:01:00,A
