Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
26/11/2024 00:00:00,26/11/2024,"NTS Energy Offtaken, Powerstations Total",777813319,29/11/2024 12:01:01,A
25/11/2024 00:00:00,25/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",42142402,28/11/2024 12:01:01,A
25/11/2024 00:00:00,25/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1703790022,27/11/2024 16:01:01,A
25/11/2024 00:00:00,25/11/2024,"NTS Energy Offtaken, Powerstations Total",304078721,28/11/2024 14:01:01,A
24/11/2024 00:00:00,24/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",41329214,28/11/2024 12:01:01,A
24/11/2024 00:00:00,24/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1377031671,27/11/2024 16:01:01,A
24/11/2024 00:00:00,24/11/2024,"NTS Energy Offtaken, Powerstations Total",195493153,25/11/2024 14:01:01,A
23/11/2024 00:00:00,23/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",39298071,25/11/2024 14:01:01,A
23/11/2024 00:00:00,23/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1942590060,28/11/2024 14:01:01,A
23/11/2024 00:00:00,23/11/2024,"NTS Energy Offtaken, Powerstations Total",239202433,25/11/2024 14:01:01,A
22/11/2024 00:00:00,22/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",53588682,24/11/2024 12:01:01,A
22/11/2024 00:00:00,22/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",2428336337,27/11/2024 16:01:01,A
22/11/2024 00:00:00,22/11/2024,"NTS Energy Offtaken, Powerstations Total",629072012,26/11/2024 16:01:00,A
21/11/2024 00:00:00,21/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",48754428,26/11/2024 12:01:01,A
21/11/2024 00:00:00,21/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",2582390014,25/11/2024 16:01:00,A
21/11/2024 00:00:00,21/11/2024,"NTS Energy Offtaken, Powerstations Total",715875532,25/11/2024 14:01:01,A
20/11/2024 00:00:00,20/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",37463959,22/11/2024 12:01:01,A
20/11/2024 00:00:00,20/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",2494337565,25/11/2024 16:01:00,A
20/11/2024 00:00:00,20/11/2024,"NTS Energy Offtaken, Powerstations Total",559753640,22/11/2024 12:01:01,A
19/11/2024 00:00:00,19/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",47174272,22/11/2024 12:01:01,A
19/11/2024 00:00:00,19/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",2280485840,22/11/2024 16:01:01,A
19/11/2024 00:00:00,19/11/2024,"NTS Energy Offtaken, Powerstations Total",567537580,21/11/2024 12:01:01,A
18/11/2024 00:00:00,18/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",57884946,22/11/2024 12:01:01,A
18/11/2024 00:00:00,18/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1985791141,22/11/2024 16:01:01,A
18/11/2024 00:00:00,18/11/2024,"NTS Energy Offtaken, Powerstations Total",693999726,20/11/2024 14:01:01,A
17/11/2024 00:00:00,17/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",33541501,19/11/2024 12:01:00,A
17/11/2024 00:00:00,17/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1640586720,22/11/2024 16:01:01,A
17/11/2024 00:00:00,17/11/2024,"NTS Energy Offtaken, Powerstations Total",311453714,19/11/2024 12:01:00,A
16/11/2024 00:00:00,16/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",32642544,19/11/2024 12:01:00,A
16/11/2024 00:00:00,16/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1507188620,21/11/2024 16:01:01,A
16/11/2024 00:00:00,16/11/2024,"NTS Energy Offtaken, Powerstations Total",263823682,20/11/2024 14:01:01,A
15/11/2024 00:00:00,15/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",45201558,19/11/2024 14:01:00,A
15/11/2024 00:00:00,15/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1604486474,18/11/2024 16:01:00,A
15/11/2024 00:00:00,15/11/2024,"NTS Energy Offtaken, Powerstations Total",592780984,20/11/2024 14:01:01,A
14/11/2024 00:00:00,14/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",63642820,19/11/2024 14:01:00,A
14/11/2024 00:00:00,14/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1525534485,19/11/2024 14:01:00,A
14/11/2024 00:00:00,14/11/2024,"NTS Energy Offtaken, Powerstations Total",712938537,18/11/2024 12:01:01,A
13/11/2024 00:00:00,13/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",63853422,14/11/2024 16:01:01,A
13/11/2024 00:00:00,13/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1640938134,18/11/2024 16:01:00,A
13/11/2024 00:00:00,13/11/2024,"NTS Energy Offtaken, Powerstations Total",731821235,14/11/2024 14:01:00,A
12/11/2024 00:00:00,12/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",67158353,15/11/2024 12:01:01,A
12/11/2024 00:00:00,12/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1728073859,15/11/2024 16:01:00,A
12/11/2024 00:00:00,12/11/2024,"NTS Energy Offtaken, Powerstations Total",698566829,13/11/2024 12:01:00,A
11/11/2024 00:00:00,11/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",55825840,15/11/2024 12:01:01,A
11/11/2024 00:00:00,11/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1521241074,15/11/2024 16:01:00,A
