Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/04/2025 01:00:00,01/04/2025,"NTS Energy Offtaken, Powerstations Total",230867202,02/04/2025 14:01:00,A
31/03/2025 01:00:00,31/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27578326,01/04/2025 14:01:00,A
31/03/2025 01:00:00,31/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1160571187,04/04/2025 14:01:00,A
31/03/2025 01:00:00,31/03/2025,"NTS Energy Offtaken, Powerstations Total",563530330,01/04/2025 16:01:00,A
30/03/2025 00:00:00,30/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",25582399,01/04/2025 12:01:01,A
30/03/2025 00:00:00,30/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1105821697,01/04/2025 14:01:00,A
30/03/2025 00:00:00,30/03/2025,"NTS Energy Offtaken, Powerstations Total",261447065,02/04/2025 16:01:01,A
29/03/2025 00:00:00,29/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",22357960,31/03/2025 12:01:01,A
29/03/2025 00:00:00,29/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1327286870,31/03/2025 18:01:00,A
29/03/2025 00:00:00,29/03/2025,"NTS Energy Offtaken, Powerstations Total",200607748,01/04/2025 14:01:00,A
28/03/2025 00:00:00,28/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27580728,31/03/2025 15:01:00,A
28/03/2025 00:00:00,28/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1301820513,31/03/2025 18:01:00,A
28/03/2025 00:00:00,28/03/2025,"NTS Energy Offtaken, Powerstations Total",276580114,31/03/2025 12:01:01,A
27/03/2025 00:00:00,27/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27956048,28/03/2025 16:01:00,A
27/03/2025 00:00:00,27/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1219368786,31/03/2025 15:01:00,A
27/03/2025 00:00:00,27/03/2025,"NTS Energy Offtaken, Powerstations Total",289245697,28/03/2025 12:01:00,A
26/03/2025 00:00:00,26/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29047756,27/03/2025 15:01:00,A
26/03/2025 00:00:00,26/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1231823580,28/03/2025 16:01:00,A
26/03/2025 00:00:00,26/03/2025,"NTS Energy Offtaken, Powerstations Total",555362681,27/03/2025 17:01:01,A
25/03/2025 00:00:00,25/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29583836,26/03/2025 15:01:01,A
25/03/2025 00:00:00,25/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1415119275,28/03/2025 12:01:00,A
25/03/2025 00:00:00,25/03/2025,"NTS Energy Offtaken, Powerstations Total",602756374,27/03/2025 17:01:01,A
24/03/2025 00:00:00,24/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",31723438,25/03/2025 15:01:00,A
24/03/2025 00:00:00,24/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1430660138,28/03/2025 12:01:00,A
24/03/2025 00:00:00,24/03/2025,"NTS Energy Offtaken, Powerstations Total",644994179,26/03/2025 15:01:01,A
23/03/2025 00:00:00,23/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",31674920,25/03/2025 15:01:00,A
23/03/2025 00:00:00,23/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1346481959,25/03/2025 15:01:00,A
23/03/2025 00:00:00,23/03/2025,"NTS Energy Offtaken, Powerstations Total",507805591,24/03/2025 15:01:00,A
22/03/2025 00:00:00,22/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29556218,25/03/2025 12:01:00,A
22/03/2025 00:00:00,22/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1133330206,24/03/2025 17:01:01,A
22/03/2025 00:00:00,22/03/2025,"NTS Energy Offtaken, Powerstations Total",307175838,25/03/2025 15:01:00,A
