country,date,demand,type
HU,2023-12-04,31238800.0,power
EE,2023-12-04,166500.0,power
HR,2023-12-04,5922000.0,power
ES,2023-12-04,128965000.0,power
LV,2023-12-05,12652000.0,power
BE,2023-12-05,68864400.0,power
AT,2023-12-05,59463500.0,power
FI,2023-12-05,14158600.0,power
IE,2023-12-05,37226900.0,power
DE,2023-12-05,249418200.0,power
RO,2023-12-05,42131750.0,power
LU,2023-12-05,388175.0,power
PL,2023-12-05,53940500.0,power
UK,2023-12-05,7625200.0,power
SI,2023-12-05,1769200.0,power
EE,2023-12-05,161500.0,power
PT,2023-12-05,54230200.0,power
GR,2023-12-05,73744000.0,power
CZ,2023-12-05,19336400.0,power
HR,2023-12-05,6912000.0,power
LT,2023-12-05,7704000.0,power
SE,2023-12-05,1700.0000000000002,power
IT,2023-12-05,415897000.0,power
DK,2023-12-05,10878000.0,power
ES,2023-12-05,194633000.0,power
NL,2023-12-05,155226200.0,power
FR,2023-12-05,149180000.0,power
BG,2023-12-05,7982100.0,power
HU,2023-12-05,30811725.0,power
SK,2023-12-05,10132900.0,power
IT,2023-12-06,444981000.0,power
LT,2023-12-06,7317300.0,power
PL,2023-12-06,57601700.0,power
FI,2023-12-06,12948199.999999998,power
SK,2023-12-06,9343400.0,power
LU,2023-12-06,395025.0,power
ES,2023-12-06,192355000.0,power
PT,2023-12-06,40870000.0,power
RO,2023-12-06,41350250.0,power
DE,2023-12-06,293614075.0,power
SE,2023-12-06,2000.0,power
FR,2023-12-06,167218000.0,power
NL,2023-12-06,200113075.0,power
IE,2023-12-06,23192700.0,power
GR,2023-12-06,70505000.0,power
UK,2023-12-06,6649099.999999999,power
DK,2023-12-06,11596800.0,power
AT,2023-12-06,70209900.0,power
BE,2023-12-06,85904900.00000001,power
SI,2023-12-06,2045900.0,power
CZ,2023-12-06,20575800.0,power
EE,2023-12-06,150600.0,power
HR,2023-12-06,6911200.0,power
HU,2023-12-06,31331375.0,power
LV,2023-12-06,11828000.0,power
BG,2023-12-06,7930900.0,power
SK,2023-12-07,9675400.0,power
HR,2023-12-07,6900000.0,power
ES,2023-12-07,123280000.0,power
UK,2023-12-07,5498500.0,power
CZ,2023-12-07,20965100.0,power
BG,2023-12-07,8065100.0,power
SE,2023-12-07,2100.0,power
DE,2023-12-07,284640450.0,power
HU,2023-12-07,28837475.0,power
LV,2023-12-07,10845000.0,power
LU,2023-12-07,405850.0,power
IT,2023-12-07,351800000.0,power
PT,2023-12-07,25656900.0,power
LT,2023-12-07,7443100.0,power
IE,2023-12-07,20344300.0,power
EE,2023-12-07,140400.0,power
NL,2023-12-07,171019475.0,power
FR,2023-12-07,167805000.0,power
RO,2023-12-07,41931500.0,power
SI,2023-12-07,2029500.0,power
AT,2023-12-07,67113700.0,power
FI,2023-12-07,9237600.0,power
PL,2023-12-07,57330600.0,power
GR,2023-12-07,69985000.0,power
DK,2023-12-07,11186300.0,power
BE,2023-12-07,62255100.0,power
IE,2023-12-08,16767500.0,power
RO,2023-12-08,42861383.33333333,power
IT,2023-12-08,254608000.0,power
LU,2023-12-08,415475.0,power
DE,2023-12-08,237600200.0,power
HR,2023-12-08,6911600.0,power
BE,2023-12-08,37776200.0,power
BG,2023-12-08,8190400.0,power
LV,2023-12-08,10212000.0,power
SI,2023-12-08,1944700.0,power
PL,2023-12-08,55264700.0,power
ES,2023-12-08,70984000.0,power
CZ,2023-12-08,7462100.0,power
HU,2023-12-08,22646325.0,power
SE,2023-12-08,2300.0000000000005,power
PT,2023-12-08,7575000.0,power
UK,2023-12-08,5081750.0,power
FR,2023-12-08,147197000.0,power
NL,2023-12-08,128489950.0,power
FI,2023-12-08,4966700.0,power
AT,2023-12-08,57182400.0,power
EE,2023-12-08,156100.0,power
