country,date,demand,type
HU,2025-01-12,29071950.0,power
HU,2025-01-13,33836075.0,power
HU,2025-01-14,34425425.0,power
HU,2025-01-15,36926941.666666664,power
IT,2025-01-08,0.0,power
IT,2025-01-09,0.0,power
IT,2025-01-10,0.0,power
IT,2025-01-11,0.0,power
IT,2025-01-12,3978000.0,power
IT,2025-01-13,0.0,power
IT,2025-01-14,7973000.0,power
IT,2025-01-15,295453000.0,power
LV,2025-01-08,310000.0,power
LV,2025-01-09,9463000.0,power
LV,2025-01-10,7184000.0,power
LV,2025-01-11,5791000.0,power
LV,2025-01-12,5844000.0,power
LV,2025-01-13,6791000.0,power
LV,2025-01-14,5439000.0,power
LV,2025-01-15,5377000.0,power
LT,2025-01-08,203700.0,power
LT,2025-01-09,6542400.0,power
LT,2025-01-10,5892200.0,power
LT,2025-01-11,6184100.0,power
LT,2025-01-12,5896100.0,power
LT,2025-01-13,5570300.0,power
LT,2025-01-14,6736100.0,power
LT,2025-01-15,7447200.0,power
LU,2025-01-08,0.0,power
LU,2025-01-09,253225.00000000003,power
LU,2025-01-10,269000.0,power
LU,2025-01-11,230825.0,power
LU,2025-01-12,211550.0,power
LU,2025-01-13,256675.0,power
LU,2025-01-14,276425.0,power
LU,2025-01-15,257925.0,power
NL,2025-01-08,3303325.0,power
NL,2025-01-09,134293150.0,power
NL,2025-01-10,144417175.0,power
NL,2025-01-11,116659575.0,power
NL,2025-01-12,109826125.0,power
NL,2025-01-13,151237725.0,power
NL,2025-01-14,99025474.99999999,power
NL,2025-01-15,178920574.99999997,power
PL,2025-01-08,2046900.0,power
PL,2025-01-09,66504000.0,power
PL,2025-01-10,60649300.0,power
PL,2025-01-11,48170000.0,power
PL,2025-01-12,50902200.0,power
PL,2025-01-13,67789100.0,power
PL,2025-01-14,65528900.0,power
PL,2025-01-15,47088800.0,power
PT,2025-01-08,637200.0,power
PT,2025-01-09,17716500.0,power
PT,2025-01-10,18179000.0,power
PT,2025-01-11,21608300.0,power
PT,2025-01-12,18680500.0,power
PT,2025-01-13,20236000.0,power
PT,2025-01-14,35645100.0,power
PT,2025-01-15,29072300.0,power
RO,2025-01-08,1560750.0,power
RO,2025-01-09,35968750.0,power
RO,2025-01-10,35974500.0,power
RO,2025-01-11,37322750.0,power
RO,2025-01-12,37432500.0,power
RO,2025-01-13,39312000.0,power
RO,2025-01-14,38893500.0,power
RO,2025-01-15,29950166.666666668,power
SK,2025-01-08,204100.0,power
SK,2025-01-09,10408900.0,power
SK,2025-01-10,10533700.0,power
SK,2025-01-11,4874600.0,power
SK,2025-01-12,4929200.0,power
SK,2025-01-13,11743900.0,power
SK,2025-01-14,12083700.0,power
SK,2025-01-15,10967900.0,power
SI,2025-01-08,97900.0,power
SI,2025-01-09,2685200.0,power
SI,2025-01-10,3166400.0,power
SI,2025-01-11,3274200.0,power
SI,2025-01-12,2851300.0,power
SI,2025-01-13,3587200.0,power
SI,2025-01-14,4225700.0,power
SI,2025-01-15,4651600.0,power
ES,2025-01-08,2474000.0,power
ES,2025-01-09,97147000.0,power
ES,2025-01-10,111461000.0,power
ES,2025-01-11,85132000.0,power
ES,2025-01-12,97767000.0,power
ES,2025-01-13,139710000.0,power
ES,2025-01-14,221831000.0,power
ES,2025-01-15,171948000.0,power
SE,2025-01-08,700.0000000000001,power
SE,2025-01-09,13800.0,power
SE,2025-01-10,14400.000000000002,power
SE,2025-01-11,16100.000000000002,power
SE,2025-01-12,16000.0,power
SE,2025-01-13,16700.0,power
SE,2025-01-14,17200.000000000004,power
SE,2025-01-15,21300.0,power
UK,2025-01-08,177100.00000000003,power
UK,2025-01-09,2176900.0,power
