"Name","Location","Date","Value","Unit"
"DM","DM",2019-09-07,7081824,"kWh"
"DM","DM",2019-09-08,6460382,"kWh"
"DM","DM",2019-09-09,8577336,"kWh"
"DM","DM",2019-09-10,8558609,"kWh"
"DM","DM",2019-09-11,8211532,"kWh"
"DM","DM",2019-09-12,8354150,"kWh"
"DM","DM",2019-09-13,8146844,"kWh"
"DM","DM",2019-09-14,6415597,"kWh"
"DM","DM",2019-09-15,6370601,"kWh"
"DM","DM",2019-09-16,8010679,"kWh"
"DM","DM",2019-09-17,8948886,"kWh"
"DM","DM",2019-09-18,8903755,"kWh"
"DM","DM",2019-09-19,8811459,"kWh"
"DM","DM",2019-09-20,8428889,"kWh"
"DM","DM",2019-09-21,6938354,"kWh"
"DM","DM",2019-09-22,6565277,"kWh"
"DM","DM",2019-09-23,8476574,"kWh"
"DM","DM",2019-09-24,8591807,"kWh"
"DM","DM",2019-09-25,8727369,"kWh"
"DM","DM",2019-09-26,8788347,"kWh"
"DM","DM",2019-09-27,8603159,"kWh"
"DM","DM",2019-09-28,7067141,"kWh"
"DM","DM",2019-09-29,6913837,"kWh"
"DM","DM",2019-09-30,9299615,"kWh"
"DM","DM",2019-10-01,10053942,"kWh"
"DM","DM",2019-10-02,10411808,"kWh"
"DM","DM",2019-10-03,9590766,"kWh"
"DM","DM",2019-10-04,9209240,"kWh"
"DM","DM",2019-10-05,7388984,"kWh"
"DM","DM",2019-10-06,7103210,"kWh"
"DM","DM",2019-10-07,9465068,"kWh"
"DM","DM",2019-10-08,10072538,"kWh"
"DM","DM",2019-10-09,10356595,"kWh"
"DM","DM",2019-10-10,10073702,"kWh"
"DM","DM",2019-10-11,9767767,"kWh"
"DM","DM",2019-10-12,7899143,"kWh"
"DM","DM",2019-10-13,7551163,"kWh"
"DM","DM",2019-10-14,10095295,"kWh"
"DM","DM",2019-10-15,10239019,"kWh"
"DM","DM",2019-10-16,10481717,"kWh"
"DM","DM",2019-10-17,10551875,"kWh"
"DM","DM",2019-10-18,10269457,"kWh"
"DM","DM",2019-10-19,8392260,"kWh"
"DM","DM",2019-10-20,8170557,"kWh"
"DM","DM",2019-10-21,11267395,"kWh"
"DM","DM",2019-10-22,10975242,"kWh"
"DM","DM",2019-10-23,10350874,"kWh"
"DM","DM",2019-10-24,10744624,"kWh"
"DM","DM",2019-10-25,11095651,"kWh"
"DM","DM",2019-10-26,9156443,"kWh"
