date,demand,idt
2019-06-28,53087118.0,be-tso-0001dis-00191exit
2019-06-29,37400566.0,be-tso-0001dis-00191exit
2019-06-30,38239447.0,be-tso-0001dis-00191exit
2019-07-01,54991614.0,be-tso-0001dis-00191exit
2019-07-02,57736929.0,be-tso-0001dis-00191exit
2019-07-03,59612884.0,be-tso-0001dis-00191exit
2019-07-04,58437688.0,be-tso-0001dis-00191exit
2019-07-05,52634463.0,be-tso-0001dis-00191exit
2019-07-06,39016870.0,be-tso-0001dis-00191exit
2019-07-07,40618818.0,be-tso-0001dis-00191exit
2019-07-08,58310352.0,be-tso-0001dis-00191exit
2019-07-09,60108809.0,be-tso-0001dis-00191exit
2019-07-10,57927454.0,be-tso-0001dis-00191exit
2019-07-11,55625786.0,be-tso-0001dis-00191exit
2019-07-12,50787062.0,be-tso-0001dis-00191exit
2019-07-13,39186741.0,be-tso-0001dis-00191exit
2019-07-14,41343889.0,be-tso-0001dis-00191exit
2019-07-15,58372789.0,be-tso-0001dis-00191exit
2019-07-16,59197984.0,be-tso-0001dis-00191exit
2019-07-17,55698095.0,be-tso-0001dis-00191exit
2019-07-18,53851979.0,be-tso-0001dis-00191exit
2019-07-19,47341437.0,be-tso-0001dis-00191exit
2019-07-20,36398847.0,be-tso-0001dis-00191exit
2019-07-21,35387501.0,be-tso-0001dis-00191exit
2019-07-22,42701148.0,be-tso-0001dis-00191exit
2019-07-23,42345293.0,be-tso-0001dis-00191exit
2019-07-24,39935065.0,be-tso-0001dis-00191exit
2019-07-25,37769181.0,be-tso-0001dis-00191exit
2019-07-26,37193303.0,be-tso-0001dis-00191exit
2019-07-27,33975354.0,be-tso-0001dis-00191exit
2019-07-28,35324716.0,be-tso-0001dis-00191exit
2019-07-29,42878790.0,be-tso-0001dis-00191exit
2019-07-30,44814421.0,be-tso-0001dis-00191exit
2019-07-31,47899181.0,be-tso-0001dis-00191exit
2019-08-01,48034077.0,be-tso-0001dis-00191exit
2019-08-02,45163422.0,be-tso-0001dis-00191exit
2019-08-03,36499594.0,be-tso-0001dis-00191exit
2019-08-04,34597030.0,be-tso-0001dis-00191exit
2019-08-05,45765989.0,be-tso-0001dis-00191exit
2019-08-06,48357049.0,be-tso-0001dis-00191exit
2019-08-07,49190228.0,be-tso-0001dis-00191exit
2019-08-08,49791633.0,be-tso-0001dis-00191exit
2019-08-09,46450154.0,be-tso-0001dis-00191exit
2019-08-10,36992655.0,be-tso-0001dis-00191exit
2019-08-11,38621437.0,be-tso-0001dis-00191exit
2019-08-12,53939851.0,be-tso-0001dis-00191exit
2019-08-13,58466100.0,be-tso-0001dis-00191exit
2019-08-14,56485382.0,be-tso-0001dis-00191exit
2019-08-15,44681832.0,be-tso-0001dis-00191exit
2019-08-16,46272945.0,be-tso-0001dis-00191exit
2019-08-17,42491569.0,be-tso-0001dis-00191exit
2019-08-18,44662979.0,be-tso-0001dis-00191exit
2019-08-19,60006399.0,be-tso-0001dis-00191exit
2019-08-20,62824015.0,be-tso-0001dis-00191exit
2019-08-21,62522057.0,be-tso-0001dis-00191exit
2019-08-22,60953942.0,be-tso-0001dis-00191exit
2019-08-23,54795321.0,be-tso-0001dis-00191exit
